Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-25 00:00:00-05:00,0.08203602026816056,0.08287240493053728,0.07833466949264291,0.0809611976146698,237120000,0.0,0.0
2000-01-26 00:00:00-05:00,0.08096120525772557,0.08311085760046,0.07618502454500967,0.07761751115322113,232464000,0.0,0.0
2000-01-27 00:00:00-05:00,0.07821450104976452,0.07821450104976452,0.07069165383857996,0.073557548224926,458208000,0.0,0.0
2000-01-28 00:00:00-05:00,0.07260287895613969,0.07308067732515323,0.06854294230081037,0.07140883058309555,194448000,0.0,0.0
2000-01-31 00:00:00-05:00,0.07176649673188105,0.0733191245403451,0.0668710977595344,0.07081181555986404,182400000,0.0,0.0
2000-02-01 00:00:00-05:00,0.0709310369386983,0.07308068219295438,0.06830358645078609,0.07248274236917496,92976000,0.0,0.0
2000-02-02 00:00:00-05:00,0.07284130575601072,0.0759465607945814,0.07248272642667372,0.07451315224170685,149040000,0.0,0.0
2000-02-03 00:00:00-05:00,0.07690124606341632,0.07845387366900594,0.07522939948478903,0.07570720463991165,108240000,0.0,0.0
2000-02-04 00:00:00-05:00,0.07809530371189015,0.07809530371189015,0.07594657414987857,0.07749827951192856,123696000,0.0,0.0
2000-02-07 00:00:00-05:00,0.07785685905802121,0.07785685905802121,0.07260288073382078,0.07272209972143173,217488000,0.0,0.0
2000-02-08 00:00:00-05:00,0.07451317091940657,0.07881246839278508,0.07260288602205099,0.07618501782417297,468816000,0.0,0.0
2000-02-09 00:00:00-05:00,0.0790509281822202,0.08036419591636339,0.07797610531862018,0.07809532433748245,589056000,0.0,0.0
2000-02-10 00:00:00-05:00,0.08287242775311575,0.09553004072751446,0.08287242775311575,0.09409663826227188,970080000,0.0,0.0
2000-02-11 00:00:00-05:00,0.09875358610528791,0.09887372755468328,0.08860420618758075,0.09553003311157227,423792000,0.0,0.0
2000-02-14 00:00:00-05:00,0.09576844229074927,0.11081413924694061,0.09481283880197003,0.11081413924694061,650112000,0.0,0.0
2000-02-15 00:00:00-05:00,0.11105350695715223,0.1111727259394761,0.1019780302559133,0.10651576519012451,450480000,0.0,0.0
2000-02-16 00:00:00-05:00,0.10770982583472574,0.11511345667225241,0.1065157773490958,0.11141117662191391,1019568000,0.0,0.0
2000-02-17 00:00:00-05:00,0.11129194883956632,0.11606904433681921,0.10962010207186265,0.11535188555717468,535776000,0.0,0.0
2000-02-18 00:00:00-05:00,0.11368001380108411,0.13039847097036358,0.11284455181600811,0.12872663140296936,960864000,0.0,0.0
2000-02-22 00:00:00-05:00,0.12466671168638618,0.12633763587244382,0.12036740812217658,0.12514358758926392,542496000,0.0,0.0
2000-02-23 00:00:00-05:00,0.12371113494456558,0.1271740480930002,0.12215851371530073,0.1258607804775238,511392000,0.0,0.0
2000-02-24 00:00:00-05:00,0.12657701973100027,0.12741248193388738,0.11941182715801242,0.124666728079319,244320000,0.0,0.0
